date,Cancer,Heart,LiverKidneyPancreas,Suicide,Vehicle,Drug-induced,Homicide,Respiratory,AIDS,Other,Heart45,Cancer45,LiverKidneyPancreas45,Respiratory45,Vehicle45,Suicide45,Homicide45,Drug-induced45,AIDS45,Other45,VehicleAll,Drug-inducedAll,FirearmAll,SuicideAll,AccidentalFirearmAll,Heart75,Cancer75,Respiratory75,LiverKidneyPancreas75,Alzheimer75,Falls75,Other75
1968/1/1 00:00,19111,27253,8816,6664,13602,#N/A,6509,5106,#N/A,25618,71644,42367,13526,8483,5875,4477,2033,#N/A,#N/A,22357,54862,#N/A,9425,21372,#N/A,514077,86691,49214,25970,293,10577,49329
1969/1/1 00:00,18918,26344,8904,7002,13868,#N/A,6857,4817,#N/A,26724,69921,42085,13395,7972,5850,4490,2003,#N/A,#N/A,22908,55791,#N/A,10174,22364,#N/A,514469,89423,46539,26627,209,10221,50194
1970/1/1 00:00,18370,25449,8829,7413,13446,#N/A,7148,4738,#N/A,26417,69163,43130,13688,7789,5913,4638,2323,#N/A,#N/A,22873,54633,#N/A,11213,23480,#N/A,513807,92520,44305,26186,226,9444,50270
1971/1/1 00:00,18184,24731,8428,7439,13307,#N/A,8143,4075,#N/A,26148,68339,42991,13591,6963,5548,4664,2437,#N/A,#N/A,22366,54381,#N/A,12423,24092,#N/A,529036,96436,45360,26222,255,9480,51211
1972/1/1 00:00,17922,23874,8536,7832,13758,#N/A,8574,4334,#N/A,25870,68110,43272,13744,7520,5838,4716,2594,#N/A,#N/A,22428,56278,#N/A,13382,25004,#N/A,542884,99172,49782,26704,360,9636,53596
1973/1/1 00:00,17695,23204,8178,7976,14013,#N/A,8854,3928,#N/A,27156,66612,43745,13412,7112,5444,4634,2597,#N/A,#N/A,22460,55511,#N/A,13752,25118,#N/A,552227,101640,53055,26216,338,9606,55254
1974/1/1 00:00,17450,21548,7840,8481,11834,#N/A,9279,3402,#N/A,27033,63457,44409,13117,6309,4357,4657,2760,#N/A,#N/A,21667,46402,#N/A,14737,25683,#N/A,542747,105288,50195,25781,394,9311,54855
1975/1/1 00:00,17096,20570,7166,8991,11969,#N/A,9091,3457,#N/A,26392,60010,43804,12022,6092,4089,4766,2743,#N/A,#N/A,20816,45853,#N/A,14295,27063,#N/A,522620,109036,52452,24671,423,8506,56827
1976/1/1 00:00,16874,19982,7232,8823,12112,#N/A,8408,3356,#N/A,25111,58062,43562,11589,6178,4118,4541,2352,#N/A,#N/A,19634,47038,#N/A,12766,26832,#N/A,533391,114274,60906,24975,486,8121,59038
1977/1/1 00:00,17171,19674,6839,9782,13031,#N/A,8688,2906,#N/A,24951,55453,43162,11081,5364,4148,4417,2262,#N/A,#N/A,19236,49510,#N/A,12874,28681,#N/A,529391,118144,54261,24167,647,7756,62383
1978/1/1 00:00,17235,19240,6770,9503,14574,0,8994,3092,#N/A,24583,53127,43243,10592,5528,4166,3976,2287,0,#N/A,18476,52411,#N/A,13386,27294,#N/A,537420,123095,61738,24906,888,7824,65752
1979/1/1 00:00,17362,18661,6908,9733,15658,3342,9953,2729,#N/A,21318,50305,42109,10238,4769,4257,3789,2461,944,#N/A,16393,53524,7101,14491,27206,2004,531814,127252,56644,29191,1614,7456,68430
1980/1/1 00:00,18010,18697,7012,9855,16133,3457,10980,2943,#N/A,21571,48775,41571,10275,5000,4235,3623,2501,858,#N/A,16319,53172,6900,15500,26869,1955,557888,133187,68497,30906,2048,7508,75193
1981/1/1 00:00,17976,18953,6587,10550,16447,3647,10828,2954,#N/A,21849,47389,40626,9469,4894,4021,3629,2526,941,#N/A,15738,51385,7106,15089,27596,1871,550380,137317,70485,31379,2705,7298,77584
1982/1/1 00:00,18589,18700,6360,10631,14469,4010,10374,2800,0,21682,44895,39893,8622,4526,3524,3710,2269,841,0,14809,45779,7310,13830,28242,1756,552581,143594,68783,32046,3462,6989,81231
1983/1/1 00:00,19017,18915,6511,10644,14323,4130,9511,3003,435,21642,43656,38983,8391,4641,3430,3629,1923,876,92,14272,44452,7492,12040,28295,1695,567891,148804,79678,33844,5147,6993,88224
1984/1/1 00:00,20041,19388,6647,10994,15036,4545,9348,3180,1098,22207,41888,38723,8072,4517,3460,3648,1891,870,219,13925,46263,7892,11815,29286,1668,568014,154388,85001,35051,7163,7061,93700
1985/1/1 00:00,20494,19772,6847,11002,15034,5248,9608,3314,2401,23947,40968,38624,7809,4853,3423,3532,1811,925,451,14238,45901,8663,11836,29453,1649,577011,159015,97384,36590,9469,7072,101358
1986/1/1 00:00,21060,20465,6949,11724,15844,6216,10524,3745,4402,25994,39241,38239,7649,4760,3442,3736,1871,1037,877,14309,47865,9976,13029,30904,1452,576166,164390,100968,36928,11029,6759,106382
1987/1/1 00:00,20734,20386,7142,11787,16405,6069,10064,3854,9983,24740,38953,38608,7769,4664,3576,3707,1787,1014,1900,13942,48290,9796,12657,30796,1440,580211,170138,103578,38039,13899,6994,110724
1988/1/1 00:00,21259,20182,7546,11915,16580,6899,10654,4156,12409,24991,37993,39179,8209,5032,3825,3532,1703,1186,2406,14407,49078,10917,13645,30407,1501,592133,176477,114270,39247,15901,7403,116193
1989/1/1 00:00,21506,19726,7553,11896,16571,6741,10947,4318,16512,25673,37140,39548,8342,4915,3879,3642,1849,1140,3340,14471,47575,10710,14464,30232,1489,574887,184364,114937,41827,18119,7532,114898
1990/1/1 00:00,22159,19553,7542,12267,16488,5810,11846,4093,18986,24909,36545,40222,8169,4923,3917,3718,1867,1141,3882,14224,46814,9463,16218,30906,1416,568874,191194,120298,42301,19526,7686,114665
1991/1/1 00:00,22714,20444,7506,12281,15082,6498,12210,4218,22062,24735,36773,40308,8283,5097,3632,3983,2093,1263,4823,14421,43536,10388,17746,30810,1441,573415,198889,122610,43272,21059,8164,117482
1992/1/1 00:00,22703,20851,7466,12181,14071,7509,11587,3955,24983,24465,37943,41644,8636,4829,3721,4018,2002,1596,5699,14942,40982,11703,17488,30484,1409,575618,204300,122784,44470,22455,8331,119340
1993/1/1 00:00,22394,21392,7554,12477,14283,8752,11599,4262,27613,25357,39573,42849,9034,5350,3803,4168,2022,1888,6605,16523,41893,13275,18253,31102,1521,606076,211985,135525,47319,27118,8756,129696
1994/1/1 00:00,22472,21639,7632,12729,13966,8988,11189,4197,30878,25086,40837,44096,9605,5689,4174,4296,1890,2254,7759,17297,42524,13923,17527,31142,1356,605172,216223,136176,48640,30538,9002,133153
1995/1/1 00:00,22526,22038,7568,12759,14618,9142,10067,4226,31117,25954,42013,44688,10190,5903,4333,4532,1889,2529,8308,18615,43363,14218,15551,31284,1225,617716,222243,140327,50638,34718,9302,138492
1996/1/1 00:00,22415,21399,7476,12602,14482,9121,9108,4124,22021,24432,42978,45126,10697,5959,4553,4837,1861,2946,6370,19002,43649,14843,14037,30903,1134,623290,226133,145385,52838,37383,10221,144581
1997/1/1 00:00,22209,21419,7236,12402,14167,9666,8518,4080,11264,23985,43141,45932,10968,6245,4805,4948,1829,3345,3614,20055,43458,15973,13252,30535,981,624203,230258,151987,54914,40530,10610,152096
1998/1/1 00:00,21913,21565,7105,12202,14095,10004,7879,4061,8803,23755,42942,46264,11212,6186,4996,5131,1695,3771,3209,21073,43501,16926,11798,30575,866,627201,233732,161749,57437,43195,11242,159682
1999/1/1 00:00,21250,21247,7304,11572,13516,10674,7437,3721,8961,24640,42890,47343,12762,6340,4972,5081,1668,4624,3907,23387,42401,19128,10828,29199,824,645151,245699,154101,65391,67740,8434,158215
2000/1/1 00:00,20969,20868,7421,11354,13811,10733,7383,3799,8356,25555,44098,48724,13410,6747,5361,5437,1755,4986,4142,25681,43354,19720,10801,29350,776,638897,250480,156028,67330,76389,8613,160879
2001/1/1 00:00,21080,21133,7376,11705,14020,11408,9472,3645,7968,25550,44904,50281,14607,6884,5564,5942,2467,5796,4120,27500,43788,21705,11348,30622,802,632257,251493,155598,70023,84893,9790,163406
2002/1/1 00:00,20486,21392,7468,11897,14169,13307,7728,3622,7546,24880,46331,50351,14774,7067,5937,6308,1915,7182,4474,28046,45380,26040,11829,31655,762,629200,254454,160745,72717,94182,10870,166562
2003/1/1 00:00,19767,21500,7279,11667,13794,14003,7626,3558,6928,24639,46834,50525,15313,7437,6074,6481,2017,8174,4442,29484,44757,28723,11920,31484,730,618101,256147,160507,73582,101927,11653,168959
